date,open,high,low,close,volume,amount
2022-08-03,2.766,2.826,2.749,2.761,36991175,3652883373.808
2022-08-04,2.764,2.789,2.732,2.775,23099242,2250869400.997
2022-08-05,2.781,2.835,2.778,2.829,29877627,2948184826.492
2022-08-08,2.82,2.86,2.82,2.855,27973391,2800631513.659
2022-08-09,2.852,2.872,2.84,2.869,25292712,2545813309.238
2022-08-10,2.866,2.883,2.855,2.874,21144319,2139106015.109
2022-08-11,2.883,2.914,2.874,2.911,23659626,2413834761.404
2022-08-12,2.908,2.92,2.88,2.886,21447314,2193562576.938
2022-08-15,2.874,2.914,2.869,2.9,22585725,2305670069.536
2022-08-16,2.9,2.94,2.9,2.917,22620743,2326492309.047
2022-08-17,2.917,2.931,2.9,2.926,21434806,2202005852.608
2022-08-18,2.917,2.94,2.914,2.934,21506813,2214090851.022
2022-08-19,2.931,2.943,2.883,2.886,21099608,2163037084.138
2022-08-22,2.877,2.911,2.857,2.903,22002026,2238676417.295
2022-08-23,2.894,2.914,2.891,2.911,21737419,2221965169.035
2022-08-24,2.908,2.917,2.801,2.812,23878524,2394592700.163
2022-08-25,2.812,2.818,2.766,2.798,22734755,2232375534.962
2022-08-26,2.798,2.829,2.778,2.789,19229051,1901640971.087
2022-08-29,2.764,2.803,2.744,2.801,18918025,1856025725.642
2022-08-30,2.798,2.801,2.772,2.783,21301039,2089536199.08
2022-08-31,2.772,2.783,2.684,2.69,22950276,2200537635.033
2022-09-01,2.681,2.721,2.67,2.678,21251272,2017159589.706
2022-09-02,2.681,2.715,2.673,2.701,19469432,1848076577.658
2022-09-05,2.701,2.73,2.684,2.707,19375030,1843958845.323
2022-09-06,2.707,2.758,2.704,2.758,19358002,1863194393.412
2022-09-07,2.749,2.786,2.744,2.775,21470153,2095666718.495
2022-09-08,2.769,2.783,2.749,2.752,19871761,1933342760.405
2022-09-09,2.747,2.764,2.735,2.761,21257507,2059699937.07
2022-09-13,2.761,2.778,2.744,2.752,19481823,1888808512.515
2022-09-14,2.721,2.732,2.707,2.724,21066940,2018702669.137
2022-09-15,2.724,2.738,2.607,2.639,24229630,2271939009.682
2022-09-16,2.63,2.644,2.585,2.588,21828472,2011292344.037
2022-09-19,2.585,2.596,2.542,2.553,19349154,1746934558.376
2022-09-20,2.556,2.613,2.556,2.582,17253683,1571936270.847
2022-09-21,2.57,2.599,2.545,2.585,19250383,1746574139.515
2022-09-22,2.562,2.616,2.562,2.588,17747472,1621578680.526
2022-09-23,2.579,2.599,2.517,2.536,20056001,1802571205.348
2022-09-26,2.522,2.556,2.505,2.508,21380800,1904702762.45
2022-09-27,2.508,2.556,2.508,2.556,21536484,1916356566.891
2022-09-28,2.545,2.553,2.48,2.482,19142815,1690877477.249
2022-09-29,2.505,2.519,2.468,2.488,21400231,1883699310.091
2022-09-30,2.48,2.494,2.44,2.446,20014630,1736020149.554
2022-10-10,2.44,2.454,2.377,2.389,19514838,1662691697.737
2022-10-11,2.386,2.411,2.372,2.4,18578975,1564550111.826
2022-10-12,2.403,2.468,2.36,2.468,20825086,1757184859.413
2022-10-13,2.451,2.519,2.448,2.494,20667183,1816975340.733
2022-10-14,2.517,2.568,2.508,2.559,21114284,1892354455.458
2022-10-17,2.536,2.588,2.536,2.579,18585055,1678358227.416
2022-10-18,2.596,2.613,2.565,2.59,19788440,1804390992.62
2022-10-19,2.582,2.61,2.576,2.579,19345538,1764352250.273
2022-10-20,2.573,2.607,2.525,2.565,21547480,1943885090.023
2022-10-21,2.562,2.585,2.545,2.57,19382586,1750779145.446
2022-10-24,2.573,2.624,2.522,2.548,21174998,1918903414.249
2022-10-25,2.539,2.556,2.491,2.539,19880474,1768637839.901
2022-10-26,2.539,2.619,2.534,2.593,22017086,2003133183.668
2022-10-27,2.613,2.613,2.57,2.579,21967486,2006334316.281
2022-10-28,2.568,2.576,2.477,2.488,23072553,2054849594.076
2022-10-31,2.485,2.536,2.471,2.511,19479591,1718986427.472
2022-11-01,2.502,2.576,2.502,2.576,19824043,1772325490.437
2022-11-02,2.562,2.616,2.562,2.602,20337986,1857183094.136
2022-11-03,2.59,2.627,2.573,2.619,19999609,1837793313.768
2022-11-04,2.616,2.684,2.616,2.681,21665934,2028983877.635
2022-11-07,2.678,2.695,2.653,2.676,20720450,1951419834.786
2022-11-08,2.673,2.676,2.65,2.673,17713246,1658505931.748
2022-11-09,2.667,2.69,2.653,2.664,18290841,1718070861.249
2022-11-10,2.636,2.656,2.627,2.636,18546108,1724635130.553
2022-11-11,2.684,2.715,2.647,2.65,20238539,1904386496.457
2022-11-14,2.649,2.673,2.619,2.63,8549887,1701266446.369
2022-11-15,2.633,2.691,2.625,2.691,8851903,1775930869.328
2022-11-16,2.691,2.701,2.667,2.671,8008965,1614810660.825
2022-11-17,2.659,2.678,2.645,2.677,8924945,1782131972.539
2022-11-18,2.673,2.694,2.649,2.658,8709254,1753733315.044
2022-11-21,2.651,2.669,2.629,2.666,8941877,1782672031.31
2022-11-22,2.657,2.667,2.611,2.625,9393769,1868336920.663
2022-11-23,2.611,2.629,2.57,2.617,8755558,1714025229.71
2022-11-24,2.619,2.635,2.61,2.627,8514548,1679944388.126
2022-11-25,2.629,2.629,2.595,2.601,7468085,1463504836.183
2022-11-28,2.58,2.594,2.549,2.587,8031058,1558909732.369
2022-11-29,2.593,2.639,2.593,2.629,8568139,1688487299.15
2022-11-30,2.629,2.638,2.613,2.625,7906881,1562493536.006
2022-12-01,2.657,2.671,2.645,2.655,8455943,1692096039.663
2022-12-02,2.657,2.683,2.651,2.662,8254556,1656189149.53
2022-12-05,2.687,2.687,2.658,2.675,8140693,1634775200.5
2022-12-06,2.669,2.686,2.655,2.67,8384587,1683970552.385
