date,equity
2024-01-01,100000.0
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-06,100000.0
2024-01-07,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-13,100000.0
2024-01-14,100000.0
2024-01-15,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,99984.58911100001
2024-01-19,100511.38663600001
2024-01-20,101806.75801900002
2024-01-21,104188.81865600002
2024-01-22,107347.84247300001
2024-01-23,110547.84247300001
2024-01-24,113747.84247300001
2024-01-25,116947.84247300001
2024-01-26,120147.84247300001
2024-01-27,123347.84247300001
2024-01-28,121747.84247300001
2024-01-29,119347.84247300001
2024-01-30,116147.84247300001
2024-01-31,112865.29795300002
2024-02-01,112865.29795300002
2024-02-02,112865.29795300002
2024-02-03,112865.29795300002
2024-02-04,112865.29795300002
2024-02-05,112865.29795300002
2024-02-06,112865.29795300002
2024-02-07,112865.29795300002
2024-02-08,112865.29795300002
